word,examples,word_audio,word_search,word_translation,example_translation
"der Schuh, -e",['Die neuen Schuhe sind mir zu eng.'],der Schuh,Schuh,['Обувки'],['Новите обувки са твърде тесни за мен.']
die Schuld,"['Es ist nicht meine Schuld, dass das nicht geklappt hat.']",die Schuld,Schuld,['Дълг'],"['Не е моя грешката, че не се получи.']"
schuld,['Ich hatte einen Unfall. Aber ich war nicht schuld.'],schuld,schuld,['вина'],['Имах инцидент. Но не беше по моя вина.']
die Schulden (Pl.),['Jetzt habe ich alle meine Schulden bezahlt.'],die Schulden,Schulden,['дългове'],['Вече съм изплатил всичките си дългове.']
schuldig,"['Was bin ich Ihnen schuldig? – 50 Euro, bitte.']",schuldig,schuldig,['виновен'],"['Какво ви дължа? - 50 евро, моля.']"
"die Schule, -n","['Meine Tochter geht schon in die Schule.', 'Nächste Woche fängt die Schule wieder an.', 'Die Schule ist gleich hier um die Ecke.']",die Schule,Schule,['Училище'],"['Дъщеря ми вече ходи на училище.', 'Училището започва отново следващата седмица.', 'Училището е точно зад ъгъла.']"
"die Schularbeit, -en (A) → D: Klassenarbeit",['Mein Sohn schreibt bei Schularbeiten immer gute Noten.'],die Schularbeit,Schularbeit,['Работа в училище'],['Синът ми винаги получава добри оценки за работата си в училище.']
"der Schüler, -","['In der Klasse sind 25 Schülerinnen. die Schülerin, -nen']",der Schüler,Schüler,['Ученици'],"['В класа има 25 ученици. the pupil, -nen']"
"die Schulter, -n",['Ich habe Schmerzen in der rechten Schulter.'],die Schulter,Schulter,['Рамо'],['Имам болка в дясното рамо.']
"die Schüssel, -n",['Gibst du mir bitte eine Schüssel für den Salat?'],die Schüssel,Schüssel,['Купа'],['Бихте ли ми дали купа за салатата?']
"schütteln, schüttelt, schüttelte, hat geschüttelt",['Die Flasche muss man vor dem Öffnen schütteln.'],schütteln,schütteln,['разклащане'],"['Бутилката трябва да се разклати, преди да се отвори.']"
"schützen, schützt, schützte, hat geschützt",['Diese Impfung schützt vor Grippe.'],schützen,schützen,['защита на'],['Тази ваксинация предпазва от грип.']
der Schutz,"['Das ist ein guter Schutz gegen Kälte.', 'Alle reden heute über den Schutz der Umwelt.']",der Schutz,Schutz,['Защита'],"['Това е добра защита срещу студ.', 'Днес всички говорят за опазване на околната среда.']"
schwach,"['Ich bin noch nicht gesund. Ich fühle mich noch sehr schwach.', 'Die Tabletten sind zu schwach. Sie helfen nicht.']",schwach,schwach,['слаб'],"['Все още не съм здрав. Все още се чувствам много слаб.', 'Таблетките са твърде слаби. Те не помагат.']"
"das Schwammerl, -n (A) → Pilz schwanger",['Haben Sie frische Schwammerln? Meine Frau ist im dritten Monat schwanger.'],das Schwammerl,Schwammerl,['Гъби'],['Имате ли пресни гъби? Жена ми е бременна в третия месец.']
"die Schwangerschaft, -en",['Sie dürfen während der Schwangerschaft nicht rauchen.'],die Schwangerschaft,Schwangerschaft,['Бременност'],['Не трябва да пушите по време на бременност.']
"schweigen, schweigt, schwieg, hat geschwiegen","['Sie sprach viel, aber ihr Mann schwieg den ganzen Abend lang.']",schweigen,schweigen,['мълчат'],"['Тя говореше много, но съпругът ѝ мълчеше през цялата вечер.']"
schwer,"['Der Koffer ist viel zu schwer.', 'Die Prüfung war schwer.', 'Das ist eine schwere Arbeit.', 'Dieses Wort ist schwer zu erklären.']",schwer,schwer,['тежък'],"['Калъфът е твърде тежък.', 'Изпитът беше труден.', 'Това е трудна работа.', 'Тази дума е трудна за обяснение.']"
"die Schwester, -n","['Ich habe eine ältere Schwester und einen jüngeren Bruder.', 'Schwester Anna hat mir eine Schmerztablette gegeben.']",die Schwester,Schwester,['сестра'],"['Имам по-голяма сестра и по-малък брат.', 'Сестра Анна ми даде болкоуспокояващо.']"
Schwieger-,"['Wir besuchen morgen meine Schwiegereltern.', 'Mein Schwiegervater ist Lehrer.', 'Ich verstehe mich gut mit meiner Schwiegertochter.']",Schwieger-,Schwieger-,['свекърва'],"['Утре сме на гости на свекърва ми.', 'Свекърът ми е учител.', 'Разбирам се добре със снаха си.']"
schwierig,['Die Prüfung war sehr schwierig.'],schwierig,schwierig,['трудно'],['Изпитът беше много труден.']
"die Schwierigkeit, -en",['Ich hatte große Schwierigkeiten einen Parkplatz zu bekommen.'],die Schwierigkeit,Schwierigkeit,['Трудност'],['Имах големи затруднения с намирането на място за паркиране.']
"schwimmen, schwimmt, schwamm, ist geschwommen","['Ich gehe regelmäßig schwimmen.', 'Kannst du schwimmen?']",schwimmen,schwimmen,['плувам'],"['Ходя да плувам редовно.', 'Можеш ли да плуваш?']"
"das Schwimmbad, ¨-er",['Kommst du mit ins Schwimmbad?'],das Schwimmbad,Schwimmbad,['Плувен басейн'],['Ще дойдете ли в плувния басейн?']
"schwitzen, schwitzt, schwitzte, hat geschwitzt",['Es war sehr heiß. Wir haben alle sehr geschwitzt.'],schwitzen,schwitzen,['пот'],['Беше много горещо. Всички се изпотихме много.']
"der See, -n",['Unser Hotel war direkt am See.'],der See,See,['Езеро'],['Хотелът ни беше точно на езерото.']
die See die Nord-/Ostsee,"['Im Sommer fahren wir immer an die See.', 'Warst du schon mal an der Nord/Ostsee?']",die See,See,['Езеро'],"['През лятото винаги ходим на езерото.', 'Били ли сте някога на Северно море/Балтийско море?']"
"sehen, sieht, sah, hat gesehen","['Ich sehe nicht gut. Ich brauche eine Brille.', 'Ich habe einen schönen Film gesehen.', 'Wir haben uns lange nicht gesehen.', 'Darf ich mal Ihren Ausweis sehen?', 'Sieh mal! Es schneit.', 'Ich komme gleich wieder, ich muss mal', 'Was machst du im Urlaub? – Ich weiß 9. Du siehst deiner Mutter sehr ähnlich.']",sehen,sehen,['вижте'],"['Не виждам добре. Имам нужда от очила.', 'Гледах хубав филм.', 'Не сме се виждали от дълго време.', 'Мога ли да видя личната ви карта?', 'Вижте! Сняг вали.', 'Веднага ще се върна, трябва да', 'Какво правиш на почивка? - Знам 9. Много приличаш на майка си.']"
"die Sehenswürdigkeit, -en",['Welche Sehenswürdigkeiten gibt es hier?'],die Sehenswürdigkeit,Sehenswürdigkeit,['Място на интерес'],['Какви забележителности има тук?']
sehr,"['Ich habe mich sehr über Ihren Besuch gefreut.', 'Hier ist Ihr Essen. - Danke sehr.', 'Das Wetter ist heute sehr schön.']",sehr,sehr,['много'],"['Бях много доволен от посещението ви.', 'Ето я вашата храна. - Благодаря ви много.', 'Времето днес е много хубаво.']"
"die Seife, -n",['Hier gibt es keine Seife.'],die Seife,Seife,['Сапун'],['Тук няма сапун.']
"sein, ist, war, ist gewesen","['Ich bin Mechaniker.', 'Das sind meine Kollegen.', 'Ich bin müde.', 'Das Auto ist jetzt fünfzehn Jahre alt.', 'Heute ist Montag.', 'Der Termin beim Zahnarzt ist erst übermorgen.', 'Um 11 Uhr ist Pause.', 'Herr Müller ist in seinem Zimmer.', 'Das Auto ist mir zu teuer.', 'Das ist schwer zu verstehen.', 'Mir ist kalt.', 'Mit Präposition wie: Das Licht ist an/aus.']",sein,sein,['да бъде'],"['Аз съм механик.', 'Това са моите колеги.', 'Уморен съм.', 'Автомобилът е вече на петнадесет години.', 'Днес е понеделник.', 'Посещението при зъболекаря е вдругиден.', 'В 11 ч. има почивка.', 'Г-н Мюлер е в стаята си.', 'Колата е твърде скъпа за мен.', 'Това е трудно за разбиране.', 'Студено ми е.', 'С предлога като: Светлината е включена/изключена.']"
seit,"['Wir wohnen seit dem', 'März in Dortmund.', 'Seit ich in Deutschland wohne, lerne ich Deutsch.']",seit,seit,['от'],"['Живеем тук от', 'март в Дортмунд.', 'Откакто се преместих в Германия, уча немски.']"
seitdem,['Ich bin vor zwei Jahren nach Deutschland gekommen. Seitdem lerne ich Deutsch.'],seitdem,seitdem,['от'],['Дойдох в Германия преди две години. Оттогава уча немски.']
"die Seite, -n","['Das hier ist die Goethestraße. Ich wohne auf der linken Seite.', 'Der Text steht auf Seite 20.']",die Seite,Seite,['страница'],"['Това е Гьотещрасе. Живея от лявата страна.', 'Текстът е на страница 20.']"
"der Sekretär, -e die Sekretärin, -nen",['Der neue Sekretär hat sich gestern vorgestellt.'],"der Sekretär, die Sekretärin",Sekretär,['Секретар'],['Новият секретар се представи вчера.']
selb-,['Ich habe am selben Tag Geburtstag wie du.'],selb-,selb-,['самостоятелно...'],['Имам същия рожден ден като вас.']
selbst,['Den Kuchen habe ich selbst gebacken.'],selbst,selbst,['самата'],['Сама изпекох тортата.']
selber,['Sie will das selber machen.'],selber,selber,['самата'],['Тя иска да го направи сама.']
selbstständig,"['Jetzt bin ich angestellt. Früher war ich selbstständig.', 'Wir suchen eine Sekretärin, die selbstständig arbeiten kann.']",selbstständig,selbstständig,['самостоятелно заети лица'],"['Сега съм нает. Преди бях самостоятелно заето лице.', 'Търсим секретарка, която може да работи самостоятелно.']"
selbstverständlich,['Selbstverständlich sagen wir Ihnen sofort Bescheid.'],selbstverständlich,selbstverständlich,['естествено'],"['Разбира се, ще ви уведомим незабавно.']"
selten,['Ich gehe ganz selten ins Kino.'],selten,selten,['рядък'],['Много рядко ходя на кино.']
seltsam,"['Es ist seltsam, dass mein Bruder noch nicht hier ist.', 'Sie hörte ein seltsames Geräusch.']",seltsam,seltsam,['странно'],"['Странно е, че брат ми все още не е тук.', 'Тя чува странен шум.']"
"das Semester, -",['Mein Neffe studiert im 7. Semester Medizin.'],das Semester,Semester,['Семестър'],['Племенникът ми учи медицина в 7-и семестър.']
"das Seminar, -e",['Ich möchte dieses Seminar unbedingt besuchen.'],das Seminar,Seminar,['Семинар'],['Определено бих искал да присъствам на този семинар.']
"die Semmel, -n (A) → D: Brötchen; CH: Brötli",['Ich hole schnell ein paar Semmeln zum Frühstück.'],die Semmel,Semmel,['Roll'],['Бързо си вземам няколко рула за закуска.']
"senden, sendet, sendete/sandte, hat gesendet/gesandt","['Bitte senden Sie uns die Unterlagen per E-Mail.', 'Können Sie uns die Post bitte nachsenden?']",senden,senden,['изпращане на'],"['Моля, изпратете ни документите по електронна поща.', 'Можете ли да ни изпратите пощата?']"
"der Sender, -","['Welchen Sender siehst du am liebsten?', 'Ich höre im Radio am liebsten Sender mit moderner Musik.']",der Sender,Sender,['Предавател'],"['Кой е любимият ви канал за гледане?', 'Любимата ми радиостанция е тази с модерна музика.']"
"die Sendung, -en","['Wir wiederholen die Sendung am 1', 'Mai.', 'Ich warte auf eine Postsendung.']",die Sendung,Sendung,['Програма'],"['Ще повторим програмата на 1', 'май.', 'Очаквам пощенска пратка.']"
die Senioren (Pl.),['Dieser Computerkurs ist für Senioren.'],die Senioren,Senioren,['Възрастни хора'],['Този компютърен курс е за възрастни хора.']
senkrecht,['Ziehen Sie bitte eine senkrechte Linie.'],senkrecht,senkrecht,['вертикален'],"['Моля, нарисувайте вертикална линия.']"
"die Serie, -n","['Meine Tochter liebt es, im Fernsehen Serien zu schauen.']",die Serie,Serie,['Серия'],['Дъщеря ми обича да гледа сериали по телевизията.']
"der Service, -","['Rufst du beim Pizza-Service an?', 'Ich war mit dem Service in der Werkstatt nicht zufrieden.']",der Service,Service,['Услуга'],"['Обаждате ли се на службата за пица?', 'Не бях доволен от обслужването в сервиза.']"
"der Serviceangestellte, -n / die Serviceangestellte, n (CH) → Kellner; D, A: Ober",['Ich bin Serviceangestellte von Beruf.'],"der Serviceangestellte, die Serviceangestellte",Serviceangestellte,['Служител в сферата на услугите'],['По професия съм служител в сферата на услугите.']
"der Sessel, - (D, CH) → A, CH: Fauteuil",['Ich hätte gern einen bequemen Sessel.'],der Sessel,Sessel,['Кресло'],['Искам удобно кресло.']
"der Sessel, - (A) → D, CH: Stuhl",['Da hinten ist noch ein Sessel frei.'],der Sessel,Sessel,['Кресло'],['В задната част има свободен фотьойл.']
"(sich) setzen, setzt, setzte, hat gesetzt","['Darf ich mich zu Ihnen setzen?', 'Bitte setzen Sie sich, wohin Sie wollen!']",sich setzen,setzen,['задаване на'],"['Мога ли да седна с вас?', 'Моля, седнете, където пожелаете!']"
sicher,"['Dieses Auto ist besonders sicher.', 'Bist du sicher, dass die Bank heute geöffnet ist?', 'Das weiß ich ganz sicher.', 'Du bist jetzt sicher müde.']",sicher,er,['той'],"['Този автомобил е особено безопасен.', 'Сигурен ли си, че банката е отворена днес?', 'Знам това със сигурност.', 'Сигурно си уморен.']"
"die Sicherheit, -en",['Sicherheit ist für mich sehr wichtig.'],die Sicherheit,Sicherheit,['Безопасност'],['Безопасността е много важна за мен.']
"sichern, sichert, sicherte, hat gesichert",['Du musst immer alle Daten im Computer sichern.'],sichern,ern,['ern'],['Винаги трябва да правите резервно копие на всички данни на компютъра.']
sichtbar,['Es gibt keine sichtbaren Verletzungen. Aber wir müssen das Bein trotzdem untersuchen.'],sichtbar,tbar,['tbar'],['Няма видими наранявания. Но все пак трябва да прегледаме крака.']
"siegen, siegt, siegte, hat gesiegt",['Die Mannschaft siegte mit 2:0.'],siegen,siegen,['спечелете'],['Отборът спечели с 2:0.']
"der Sieg, -e",['Unsere Mannschaft hat gewonnen. Wir freuen uns über den Sieg.'],der Sieg,Sieg,['Victory'],['Нашият отбор спечели. Щастливи сме от победата.']
"der Sieger, die Siegerin, -nen",['Wer hat gewonnen? Wie heißt die Siegerin?'],"der Sieger, die Siegerin",Sieger,['Победител'],['Кой спечели? Какво е името на победителя?']
"(sich) siezen, siezt, siezte, hat gesiezt","['Obwohl sie sich schon lange kennen, siezen sie sich.']",sich siezen,siezen,['siezen'],"['Въпреки че се познават отдавна, те продължават да се наричат с първите си имена.']"
"singen, singt, sang, hat gesungen","['Ich singe gern.', 'Ich kann heute nicht singen, ich bin erkältet.']",singen,singen,['пеят'],"['Обичам да пея.', 'Не мога да пея днес, имам настинка.']"
"sinken, sinkt, sank, ist gesunken","['Das Schiff ist vor der Küste gesunken.', 'Der Preis ist um 3 % gesunken.']",sinken,sinken,['мивка'],"['Корабът е потънал край брега.', 'Цената е спаднала с 3%.']"
"der Sinn, -e","['Es hat keinen Sinn, noch ein Spiel zu beginnen. Es ist schon spät.']",der Sinn,Sinn,['Усещане'],['Няма смисъл да започвате нова игра. Вече е късно.']
sinnlos,['So ein sinnloses Buch habe ich schon lange nicht mehr gelesen.'],sinnlos,sinnlos,['безсмислен'],['Отдавна не бях чел толкова безсмислена книга.']
sinnvoll,"['Es funktioniert einfach nicht. Es ist sinnvoll, es noch einmal zu versuchen.']",sinnvoll,sinnvoll,['полезно'],['Той просто не работи. Има смисъл да опитате отново.']
"die Situation, -en",['Ich bin in einer schwierigen Situation.'],die Situation,Situation,['ситуация'],['Намирам се в трудна ситуация.']
"sitzen, sitzt, saß, hat/ist gesessen","['Wo möchten Sie sitzen? – Bitte ganz hinten.', 'Die Jacke sitzt sehr gut.']",sitzen,sitzen,['седнете на'],"['Къде бихте искали да седнете? - Отзад, моля.', 'Сакото пасва много добре.']"
"der Sitz, -e",['Ich suche für meinen Sohn einen Sitz fürs Auto. Erst ist erst drei Jahre alt.'],der Sitz,Sitz,['Седалка'],['Търся столче за кола за сина си. Той е само на три години.']
"der Ski, -er","['Gehen wir am Wochenende Ski laufen?', 'Das sind aber schöne Skier!']",der Ski,Ski,['Ски'],"['Ще караме ли ски този уикенд?', 'Това са хубави ски!']"
so,"['Wie macht man das? – So!', 'Sie müssen das so machen. Nicht so!', 'Sie sind auch hier! So ein Zufall!', 'Ich melde mich, so schnell ich kann.', 'Wann treffen wir uns? – So gegen 10 Uhr. Ist dir das recht?', 'Dauert es lange? – Eine Stunde oder so kann es schon dauern.', 'Ich hatte kein Geld dabei. Da haben sie mich so hineingelassen.', 'So, jetzt bin ich fertig. Was machen wir jetzt?', 'Fahren Sie bitte nicht so schnell!', 'Meine Frau ist so groß wie ich.', 'Was macht ihr denn so?']",so,so,['така че'],"['Как го правите? - Ето така!', 'Трябва да го направиш така. Не по този начин!', 'Те също са тук! Какво съвпадение!', 'Ще се свържа с вас веднага щом мога.', 'Кога ще се срещнем? - Около 10 часа. Това устройва ли ви?', 'Ще отнеме ли много време? - Може да отнеме около час.', 'Нямах пари със себе си. Пуснаха ме така.', 'И така, сега приключих. Какво ще правим сега?', 'Моля, не карайте толкова бързо!', 'Жена ми е висока колкото мен.', 'Какво правиш?']"
sobald,"['Sobald ich den Termin weiß, gebe ich Ihnen Bescheid.']",sobald,sobald,['веднага щом'],"['Веднага щом узная датата, ще ви съобщя.']"
"die Socke, -n",['Im Winter brauche ich warme Socken.'],die Socke,Socke,['Чорап'],['Имам нужда от топли чорапи през зимата.']
sodass,"['Der Zug hatte zwei Stunden Verspätung, sodass ich erst um 23 Uhr nach Hause kam.']",sodass,sodass,['така че'],"['Влакът закъсня с два часа, така че се прибрах вкъщи чак в 23:00.']"
"das Sofa, -s",['Wir hätten gern ein modernes Sofa.'],das Sofa,Sofa,['Диван'],['Бихме искали модерен диван.']
sofort,"['Warum sind Sie nicht sofort zum Arzt gegangen?', 'Karten für das Konzert bekommen Sie ab sofort im Kartenbüro.']",sofort,sofort,['незабавно'],"['Защо не отидохте при лекаря веднага?', 'Билетите за концерта вече се продават на касата.']"
sogenannt-,"['Studenten, die lange studieren, sind sogenannte Langzeitstudierende.', 'Wo bleiben denn deine sogenannten Freunde?']",sogenannt-,sogenannt-,['т.нар.'],"['Студентите, които учат дълго време, са т.нар. дългосрочни студенти.', 'Къде са вашите така наречени приятели?']"
sogar,['Auf dem Berg war es so kalt. Es hat sogar geschneit.'],sogar,sogar,['дори'],['В планината беше толкова студено. Дори валеше сняг.']
"der Sohn, ¨-e",['Mein jüngster Sohn ist vier.'],der Sohn,Sohn,['син'],['Най-малкият ми син е на четири години.']
solange,"['Solange Sie Fieber haben, dürfen Sie auf keinen Fall arbeiten gehen.']",solange,solange,['докато'],"['Докато имате треска, не трябва да ходите на работа при никакви обстоятелства.']"
solch-,['Solche Schuhe finde ich toll.'],solch-,solch-,['такива-'],"['Мисля, че подобни обувки са страхотни.']"
"sollen, soll, sollte, hat gesollt (hat sollen als Modalverb)","['Wann soll ich kommen?', 'Ich habe im Radio gehört, es soll morgen regnen.', 'Sollten Sie mit dem Vorschlag nicht einverstanden sein, rufen Sie mich an.']",sollen,sollen,['е'],"['Кога трябва да дойда?', 'Чух по радиото, че утре ще вали.', 'Ако не сте съгласни с предложението, обадете ми се.']"
"das Sonderangebot, -e",['Das ist ein Sonderangebot: 25 % reduziert.'],das Sonderangebot,Sonderangebot,['Специално предложение'],['Това е специална оферта: 25 % намаление.']
sondern,"['Unser Besuch kommt nicht heute, sondern morgen.']",sondern,sondern,['но'],"['Посещението ни не е днес, а утре.']"
"die Sonne, -n","['Das Wetter ist schön. Die Sonne scheint.', 'Ich habe zu lange in der Sonne gelegen.']",die Sonne,Sonne,['Sun'],"['Времето е хубаво. Слънцето грее.', 'Лежах на слънце твърде дълго.']"
sonnig,['Das Wetter morgen: sonnig und warm.'],sonnig,sonnig,['слънчев'],['Времето утре: слънчево и топло.']
sonst,"['Haben sie sonst noch einen Wunsch? – Nein, danke. Das ist alles.', 'Wir müssen jetzt gehen, sonst wird es zu spät.', 'Heute ist der Chef nicht mehr da. Sonst ist er um diese Zeit immer im Büro.']",sonst,sonst,['в противен случай'],"['Имате ли други желания? - Не, благодаря. Това е всичко.', 'Трябва да тръгваме сега, иначе ще е твърде късно.', 'Шефът не е тук днес. Обикновено по това време той винаги е в офиса.']"
"sorgen, sorgt, sorgte, hat gesorgt","['Wer sorgt denn für die Kinder?', 'Können Sie bitte dafür sorgen, dass die Heizung funktioniert?']",sorgen,sorgen,['предоставя'],"['Кой се грижи за децата?', 'Можете ли да се погрижите отоплението да работи?']"
"die Sorge, -n",['Um Ihre Zukunft brauchen Sie sich keine Sorgen zu machen.'],die Sorge,Sorge,['Грижа'],['Не е нужно да се притеснявате за бъдещето си.']
"die Soße, -n",['Gibst du mir bitte mal die Soße?'],die Soße,Soße,['Сос'],"['Можете ли да ми подадете соса, моля?']"
"das Souvenir, -s",['Ich habe ein paar Souvenirs aus dem Urlaub mitgebracht.'],das Souvenir,Souvenir,['Сувенир'],['Донесох няколко сувенира от почивката си.']
soviel,"['Soviel ich weiß, hat dieses Restaurant heute Ruhetag.']",soviel,soviel,['толкова много'],"['Доколкото знам, този ресторант е затворен днес.']"
so viel,['Ich habe so viel gegessen. Jetzt ist mir schlecht.'],so viel,so viel,['толкова много'],['Ял съм толкова много. Сега се чувствам зле.']
so viel wie,['Ich verdiene nur halb so viel wie er.'],so viel wie,so viel wie,"['толкова, колкото']","['Аз печеля само половината от това, което печели той.']"
sowieso,['Willst du mir den Brief mitgeben? Ich gehe sowieso zur Post.'],sowieso,sowieso,['така или иначе'],['Искаш ли да ми дадеш писмото? Все пак ще отида до пощата.']
sowohl … als auch,['Sowohl Sie als auch Ihre Frau müssen unterschreiben.'],sowohl … als auch,sowohl … als auch,['и двете ... и'],"['И вие, и съпругата ви трябва да се подпишете.']"
sozial,"['Das System ist nicht sozial.', 'Es gibt viele soziale Probleme.']",sozial,sozial,['социален'],"['Системата не е социална.', 'Съществуват много социални проблеми.']"
"der Sozialarbeiter, die Sozialarbeiterin, -nen",['Die Sozialarbeiterin kommt einmal in der Woche.'],"der Sozialarbeiter, die Sozialarbeiterin",Sozialarbeiter,['Социален работник'],['Социалният работник идва веднъж седмично.']
spannend,['Das Spiel war spannend bis zur letzten Minute.'],spannend,spannend,['вълнуващ'],['Играта беше вълнуваща до последната минута.']
"sparen, spart, sparte, hat gespart","['Ein Auto ist mir zu teuer, ich muss sparen.', 'Um Strom zu sparen, schalten wir die Heizung nachts aus.']",sparen,sparen,['спаси'],"['Колата е твърде скъпа за мен, трябва да спестявам пари.', 'За да пестим електроенергия, изключваме отоплението през нощта.']"
sparsam,"['Wir haben fünf Kinder. Wir müssen sehr sparsam sein.', 'Mein Auto ist sehr sparsam. Es verbraucht nur 5 Liter auf 100 km.']",sparsam,sparsam,['икономичен'],"['Имаме пет деца. Трябва да бъдем много пестеливи.', 'Колата ми е много икономична. Тя изразходва само 5 литра на 100 км.']"
"der Spaß, ¨-e","['Meine Arbeit macht mir viel Spaß.', 'Viel Spaß bei der Party!']",der Spaß,Spaß,['Забавно'],"['Работата ми доставя голямо удоволствие.', 'Забавлявайте се на партито!']"
spät,"['Wie spät ist es?', 'Es ist schon spät, ich muss gehen.', 'Ich muss mich beeilen. Sonst komme ich zu spät.', 'Sonntags stehen wir immer spät auf.', 'Am späten Nachmittag ist der Verkehr besonders stark.', 'Können Sie später noch mal anrufen?', 'Was willst du denn später mal werden?']",spät,spät,['късно'],"['Колко е часът?', 'Става късно, трябва да тръгвам.', 'Трябва да побързам. Иначе ще закъснея.', 'В неделя винаги ставаме късно.', 'Трафикът е особено интензивен в късния следобед.', 'Можете ли да се обадите по-късно?', 'Какъв искаш да станеш, когато пораснеш?']"
spätestens,['Ich muss spätestens um 9 Uhr bei der Arbeit sein.'],spätestens,spätestens,['най-късно'],['Трябва да съм на работа най-късно в 9 ч. сутринта.']
"spazieren gehen, geht spazieren, ging spazieren, ist spazieren gegangen",['Wir gehen sonntags immer spazieren.'],spazieren gehen,spazieren gehen,['да се разхождате'],['Винаги се разхождаме в неделя.']
"der Spaziergang, ¨-e",['Abends mache ich oft einen Spaziergang durch das Viertel.'],der Spaziergang,Spaziergang,['Разходка'],['Често се разхождам вечер из квартала.']
"speichern, speichert, speicherte, hat gespeichert",['Sie müssen die Datei speichern.'],speichern,speichern,['спаси'],['Трябва да запазите файла.']
"die Speise, -n","['Als Vorspeise nehme ich eine Suppe, aber dafür nehme ich keine Nachspeise. (D, A)']",die Speise,Speise,['Храна'],"['Ще ям супа като предястие, но няма да ям десерт. (D, A)']"
"die Speisekarte, -n","['Bitte, die Speisekarte.']",die Speisekarte,Speisekarte,['Меню'],"['Моля, менюто.']"
"der Speisewagen, -",['Wo ist der Speisewagen?'],der Speisewagen,Speisewagen,['Вагон за хранене'],['Къде е вагонът за хранене?']
Spezial-,['Ich brauche eine Spezialpflege für trockenes Haar.'],Spezial-,Spezial-,['Специален'],['Имам нужда от специална грижа за суха коса.']
"der Spezialist, -en die Spezialistin, -nen",['Mein Arzt hat mich zur Spezialistin geschickt.'],"der Spezialist, die Spezialistin",Spezialist,['Специалист'],['Моят лекар ме изпрати при специалист.']
speziell,['Ich suche einen ganz speziellen Ring für meine Freundin.'],speziell,speziell,['особено'],['Търся много специален пръстен за моята приятелка.']
"der Spiegel, -","['Ich möchte gerne sehen, wie mein Kleid sitzt. Hast du einen Spiegel?']",der Spiegel,Spiegel,['Огледало'],['Искам да видя как ми стои роклята. Имате ли огледало?']
"spielen, spielt, spielte, hat gespielt","['Wir haben einen großen Garten, da können die Kinder spielen.', 'Am Sonntag spielen wir gegen die Fußballmannschaft der Nachbarschule.', 'Spielen Sie ein Instrument?', 'Spielen Sie Karten?']",spielen,spielen,['игра'],"['Имаме голяма градина, където децата могат да играят.', 'В неделя играем срещу футболния отбор от съседното училище.', 'Свирите ли на някакъв инструмент?', 'Играете ли карти?']"
"das Spiel, -e","['Monopoly ist ein ganz bekanntes Spiel.', 'Nach 20 Minuten stand das Spiel 2:1.']",das Spiel,Spiel,['Игра'],"['Монополи е добре позната игра.', 'След 20 минути резултатът е 2:1.']"
"der Spieler, die Spielerin, -nen","['Für dieses Spiel braucht man zwei bis vier Spieler.', 'Beim Fußball gibt es elf Spieler.']","der Spieler, die Spielerin",Spieler,['играч'],"['Тази игра изисква двама до четирима играчи.', 'Във футбола има единадесет играчи.']"
"der Spielplatz, ¨-e",['Die Kinder sind auf dem Spielplatz.'],der Spielplatz,Spielplatz,['Детска площадка'],['Децата са на детската площадка.']
"das Spielzeug, -e",['Zu Weihnachten wünschen sich die Kinder vor allem Spielzeug.'],das Spielzeug,Spielzeug,['Играчки'],['За Коледа децата искат преди всичко играчки.']
spitz,['Der Bleistift ist nicht spitz.'],spitz,spitz,['заострена'],['Моливът не е остър.']
"der Sport, -e","['Für Sport interessiere ich mich sehr.', 'Ich mache viel Sport.']",der Sport,Sport,['Спорт'],"['Много се интересувам от спорт.', 'Спортувам много.']"
"die Sportart, -en",['Welche Sportart findest du am besten?'],die Sportart,Sportart,['Спорт'],['Кой спорт ви харесва най-много?']
"der Sportler, -","['Sie ist eine gute Sportlerin. die Sportlerin, -nen']",der Sportler,Sportler,['Спортист'],"['Тя е добра спортистка. спортистката, -nen']"
sportlich,"['Ich bin nicht sehr sportlich.', 'Ich mag bequeme und sportliche Kleidung.']",sportlich,sportlich,['спортен'],"['Не съм много спортен.', 'Харесвам удобни и спортни дрехи.']"
"die Sprache, -n",['Franco spricht mehrere Sprachen.'],die Sprache,Sprache,['Език'],['Франко говори няколко езика.']
"die Fremdsprache, -n",['Ich spreche drei Fremdsprachen.'],die Fremdsprache,Fremdsprache,['Чужд език'],['Говоря три чужди езика.']
"die Muttersprache, -n",['Was ist Ihre Muttersprache?'],die Muttersprache,Muttersprache,['Майчин език'],['Какъв е родният ви език?']
"die Zweitsprache, -n",['Deutsch ist seine Zweitsprache.'],die Zweitsprache,Zweitsprache,['Втори език'],['Немският е вторият му език.']
"sprechen, spricht, sprach, hat gesprochen","['Können Sie bitte etwas lauter sprechen?', 'Jean spricht sehr gut Deutsch.', 'Ich möchte nicht darüber sprechen.', 'Die Bundeskanzlerin spricht heute', 'Kann ich bitte Herrn Müller sprechen?']",sprechen,sprechen,['говори'],"['Можете ли да говорите малко по-силно?', 'Жан говори много добре немски.', 'Не искам да говоря за това.', 'Канцлерът ще говори днес', 'Мога ли да говоря с г-н Мюлер, моля?']"
"die Sprechstunde, -n → A: Ordination",['Frau Dr. Berger hat von 8 bis 12 Uhr Sprechstunde.'],die Sprechstunde,Sprechstunde,['Час за консултация'],['Д-р Бергер има работно време за консултации от 8 до 12 часа.']
